label,x_um,y_um,z_um,fwhm_x_um,fwhm_y_um,fwhm_xy_um,fwhm_z_um,sigma_xy_um,sigma_z_um,peak,integrated,halo_fraction
1,25.75,25.75,1,1.10169,1.241,1.17135,nan,1.98107,10.015,10.965,33519.1,0.996683
2,76.75,25.75,1,0.572386,1.2924,0.932393,4.5451,1.46838,4.64231,13.6703,30747.1,0.996448
3,128.25,25.75,1,1.06072,0.911493,0.986106,5.39392,1.916,5.04737,8.39686,30054.2,0.997697
4,179.25,25.75,1,0.654549,0.593228,0.623888,4.28932,1.44781,6.34677,12.0164,31232.9,0.997398
5,230.25,25.75,1,1.05583,1.22676,1.1413,nan,1.67834,8.66539,12.1457,32151.3,0.996652
6,25.75,76.75,1,1.26131,1.53106,1.39618,nan,2.46187,10.096,8.79056,29994.7,0.997046
7,76.75,76.75,1,0.741786,0.616295,0.67904,5.31599,2.00735,3.03355,8.16181,32129.3,0.997932
8,128.25,76.75,1,0.988505,0.911184,0.949844,4.32473,1.39948,9.96207,13.018,31783.3,0.996582
9,179.25,76.75,1,0.858747,0.904556,0.881652,5.44642,1.33178,6.27937,14.1675,32338,0.99654
10,230.25,76.75,1,0.642675,0.540992,0.591833,4.22089,1.86091,8.35229,12.6182,28361.4,0.998308
11,25.75,128.25,1,0.692101,0.761536,0.726819,4.60735,1.68331,4.68296,8.3678,30962.6,0.997612
12,76.75,128.25,1,1.10426,1.32225,1.21325,4.68869,1.48811,8.48078,8.8467,33448.1,0.997467
13,128.25,128.25,1,0.760232,1.36939,1.06481,5.57398,2.50865,7.57389,9.14521,32884.1,0.997188
14,179.25,128.25,1,0.776015,0.693458,0.734736,4.31093,1.60478,5.87725,10.2878,30042.9,0.997712
15,230.25,128.25,1,0.627646,1.1025,0.865073,nan,1.55369,4.15541,11.0502,33503.1,0.997049
16,25.75,179.25,1,0.98681,1.00183,0.994321,nan,1.72179,8.84735,11.4429,31136.3,0.996373
17,76.75,179.25,1,1.09995,1.08283,1.09139,8.16049,1.39641,4.36233,10.3175,32617.5,0.997388
18,128.25,179.25,1,1.10744,0.943326,1.02538,6.27681,1.37213,7.16897,12.6757,33830.3,0.996775
19,179.25,179.25,1,0.581734,0.587028,0.584381,4.68602,2.24205,4.48046,6.86598,31366.6,0.998129
20,230.25,179.25,1,0.793708,1.1012,0.947453,nan,1.37202,7.65016,13.7858,32508,0.996782
21,25.75,230.25,1,1.21274,0.792972,1.00286,4.05933,1.75531,6.94393,8.58061,29394.3,0.997263
22,76.75,230.25,1,1.40408,1.99745,1.70077,nan,1.48024,4.83326,11.5356,29476.7,0.995135
23,128.25,230.25,1,1.27869,0.691596,0.985143,nan,1.44181,3.12052,14.6744,32217.1,0.996585
24,179.25,230.25,1,1.99357,1.02267,1.50812,4.20683,1.76673,8.02247,7.09788,33077.3,0.997671
25,230.25,230.25,1,0.991364,1.91442,1.45289,nan,1.50329,4.14101,10.4522,35170.7,0.996862
